Theta,Phi,Gain
0,0,16.81
1,0,16.65
2,0,16.09
3,0,15.21
4,0,14.09
5,0,12.92
6,0,11.94
7,0,11.34
8,0,11.06
9,0,10.83
10,0,10.40
11,0,9.66
12,0,8.54
13,0,7.11
14,0,5.58
15,0,4.29
16,0,3.56
17,0,3.26
18,0,3.01
19,0,2.51
20,0,1.60
21,0,0.27
22,0,-1.36
23,0,-2.96
24,0,-3.85
25,0,-3.65
26,0,-2.66
27,0,-1.47
28,0,-0.40
29,0,0.43
30,0,0.97
31,0,1.21
32,0,1.08
33,0,0.60
34,0,-0.24
35,0,-1.37
36,0,-2.65
37,0,-3.79
38,0,-4.39
39,0,-4.35
40,0,-3.96
41,0,-3.53
42,0,-3.25
43,0,-3.17
44,0,-3.25
45,0,-3.46
46,0,-3.73
47,0,-4.01
48,0,-4.25
49,0,-4.41
50,0,-4.54
51,0,-4.64
52,0,-4.73
53,0,-4.85
54,0,-5.03
55,0,-5.30
56,0,-5.65
57,0,-6.09
58,0,-6.55
59,0,-6.93
60,0,-7.07
61,0,-6.79
62,0,-6.05
63,0,-5.04
64,0,-3.93
65,0,-2.90
66,0,-2.01
67,0,-1.30
68,0,-0.78
69,0,-0.43
70,0,-0.22
71,0,-0.16
72,0,-0.23
73,0,-0.42
74,0,-0.69
75,0,-1.00
76,0,-1.30
77,0,-1.53
78,0,-1.65
79,0,-1.63
80,0,-1.49
81,0,-1.25
82,0,-0.96
83,0,-0.65
84,0,-0.35
85,0,-0.09
86,0,0.11
87,0,0.25
88,0,0.35
89,0,0.40
90,0,0.41
91,0,0.39
92,0,0.34
93,0,0.24
94,0,0.11
95,0,-0.07
96,0,-0.28
97,0,-0.56
98,0,-0.89
99,0,-1.28
100,0,-1.75
101,0,-2.30
102,0,-2.91
103,0,-3.60
104,0,-4.34
105,0,-5.11
106,0,-5.83
107,0,-6.45
108,0,-6.94
109,0,-7.27
110,0,-7.46
111,0,-7.61
112,0,-7.77
113,0,-8.03
114,0,-8.45
115,0,-9.10
116,0,-10.03
117,0,-11.24
118,0,-12.79
119,0,-14.63
120,0,-16.30
121,0,-16.85
122,0,-16.01
123,0,-14.62
124,0,-13.40
125,0,-12.58
126,0,-12.24
127,0,-12.35
128,0,-12.92
129,0,-14.01
130,0,-15.79
131,0,-18.31
132,0,-20.76
133,0,-20.96
134,0,-19.09
135,0,-17.08
136,0,-15.67
137,0,-15.00
138,0,-15.06
139,0,-15.69
140,0,-16.73
141,0,-18.11
142,0,-19.64
143,0,-20.65
144,0,-20.19
145,0,-18.79
146,0,-17.57
147,0,-16.96
148,0,-16.55
149,0,-15.49
150,0,-13.68
151,0,-11.84
152,0,-10.37
153,0,-9.26
154,0,-8.39
155,0,-7.71
156,0,-7.12
157,0,-6.51
158,0,-5.80
159,0,-5.00
160,0,-4.15
161,0,-3.30
162,0,-2.47
163,0,-1.74
164,0,-1.14
165,0,-0.68
166,0,-0.30
167,0,0.03
168,0,0.37
169,0,0.74
170,0,1.14
171,0,1.55
172,0,1.92
173,0,2.19
174,0,2.34
175,0,2.36
176,0,2.28
177,0,2.12
178,0,1.95
179,0,1.83
180,0,1.80
0,1,16.81
1,1,16.65
2,1,16.09
3,1,15.21
4,1,14.09
5,1,12.92
6,1,11.94
7,1,11.34
8,1,11.06
9,1,10.83
10,1,10.40
11,1,9.66
12,1,8.54
13,1,7.11
14,1,5.58
15,1,4.29
16,1,3.56
17,1,3.26
18,1,3.01
19,1,2.51
20,1,1.60
21,1,0.27
22,1,-1.36
23,1,-2.96
24,1,-3.85
25,1,-3.65
26,1,-2.66
27,1,-1.47
28,1,-0.40
29,1,0.43
30,1,0.97
31,1,1.21
32,1,1.08
33,1,0.60
34,1,-0.24
35,1,-1.37
36,1,-2.65
37,1,-3.79
38,1,-4.39
39,1,-4.35
40,1,-3.96
41,1,-3.53
42,1,-3.25
43,1,-3.17
44,1,-3.25
45,1,-3.46
46,1,-3.73
47,1,-4.01
48,1,-4.25
49,1,-4.41
50,1,-4.54
51,1,-4.64
52,1,-4.73
53,1,-4.85
54,1,-5.03
55,1,-5.30
56,1,-5.65
57,1,-6.09
58,1,-6.55
59,1,-6.93
60,1,-7.07
61,1,-6.79
62,1,-6.05
63,1,-5.04
64,1,-3.93
65,1,-2.90
66,1,-2.01
67,1,-1.30
68,1,-0.78
69,1,-0.43
70,1,-0.22
71,1,-0.16
72,1,-0.23
73,1,-0.42
74,1,-0.69
75,1,-1.00
76,1,-1.30
77,1,-1.53
78,1,-1.65
79,1,-1.63
80,1,-1.49
81,1,-1.25
82,1,-0.96
83,1,-0.65
84,1,-0.35
85,1,-0.09
86,1,0.11
87,1,0.25
88,1,0.35
89,1,0.40
90,1,0.41
91,1,0.39
92,1,0.34
93,1,0.24
94,1,0.11
95,1,-0.07
96,1,-0.28
97,1,-0.56
98,1,-0.89
99,1,-1.28
100,1,-1.75
101,1,-2.30
102,1,-2.91
103,1,-3.60
104,1,-4.34
105,1,-5.11
106,1,-5.83
107,1,-6.45
108,1,-6.94
109,1,-7.27
110,1,-7.46
111,1,-7.61
112,1,-7.77
113,1,-8.03
114,1,-8.45
115,1,-9.10
116,1,-10.03
117,1,-11.24
118,1,-12.79
119,1,-14.63
120,1,-16.30
121,1,-16.85
122,1,-16.01
123,1,-14.62
124,1,-13.40
125,1,-12.58
126,1,-12.24
127,1,-12.35
128,1,-12.92
129,1,-14.01
130,1,-15.79
131,1,-18.31
132,1,-20.76
133,1,-20.96
134,1,-19.09
135,1,-17.08
136,1,-15.67
137,1,-15.00
138,1,-15.06
139,1,-15.69
140,1,-16.73
141,1,-18.11
142,1,-19.64
143,1,-20.65
144,1,-20.19
145,1,-18.79
146,1,-17.57
147,1,-16.96
148,1,-16.55
149,1,-15.49
150,1,-13.68
151,1,-11.84
152,1,-10.37
153,1,-9.26
154,1,-8.39
155,1,-7.71
156,1,-7.12
157,1,-6.51
158,1,-5.80
159,1,-5.00
160,1,-4.15
161,1,-3.30
162,1,-2.47
163,1,-1.74
164,1,-1.14
165,1,-0.68
166,1,-0.30
167,1,0.03
168,1,0.37
169,1,0.74
170,1,1.14
171,1,1.55
172,1,1.92
173,1,2.19
174,1,2.34
175,1,2.36
176,1,2.28
177,1,2.12
178,1,1.95
179,1,1.83
180,1,1.80
0,2,16.81
1,2,16.65
2,2,16.09
3,2,15.21
4,2,14.09
5,2,12.92
6,2,11.94
7,2,11.34
8,2,11.06
9,2,10.83
10,2,10.40
11,2,9.66
12,2,8.54
13,2,7.11
14,2,5.58
15,2,4.29
16,2,3.56
17,2,3.26
