Input feed cut file input-unit/ppe-omni-7.205Ghz-rhcp.cut, CF(dB)=-0.20, complex field for theta,phi degrees
    THETA    PHI        POL-1,real         POL-1,imag         POL-2,real         POL-2,imag
    0.00     0.00      -7.188553E-01       1.944476E+00      -8.465028E-03       1.931875E-02
    1.00     0.00      -7.187177E-01       1.943258E+00      -8.326836E-03       1.892870E-02
    2.00     0.00      -7.184668E-01       1.940129E+00      -8.185953E-03       1.823751E-02
    3.00     0.00      -7.180830E-01       1.935103E+00      -8.036492E-03       1.725501E-02
    4.00     0.00      -7.175365E-01       1.928198E+00      -7.870589E-03       1.599554E-02
    5.00     0.00      -7.167879E-01       1.919443E+00      -7.678668E-03       1.447802E-02
    6.00     0.00      -7.157887E-01       1.908872E+00      -7.449737E-03       1.272588E-02
    7.00     0.00      -7.144822E-01       1.896525E+00      -7.171720E-03       1.076704E-02
    8.00     0.00      -7.128038E-01       1.882454E+00      -6.831848E-03       8.633773E-03
    9.00     0.00      -7.106824E-01       1.866715E+00      -6.417073E-03       6.362539E-03
   10.00     0.00      -7.080410E-01       1.849373E+00      -5.914527E-03       3.993814E-03
   11.00     0.00      -7.047976E-01       1.830502E+00      -5.311993E-03       1.571844E-03
   12.00     0.00      -7.008660E-01       1.810183E+00      -4.598406E-03      -8.556329E-04
   13.00     0.00      -6.961568E-01       1.788507E+00      -3.764361E-03      -3.237692E-03
   14.00     0.00      -6.905783E-01       1.765570E+00      -2.802636E-03      -5.520567E-03
   15.00     0.00      -6.840369E-01       1.741482E+00      -1.708730E-03      -7.648018E-03
   16.00     0.00      -6.764381E-01       1.716358E+00      -4.814196E-04      -9.561739E-03
   17.00     0.00      -6.676873E-01       1.690327E+00       8.766544E-04      -1.120178E-02
   18.00     0.00      -6.576907E-01       1.663527E+00       2.358371E-03      -1.250702E-02
   19.00     0.00      -6.463562E-01       1.636108E+00       3.951460E-03      -1.341571E-02
   20.00     0.00      -6.335953E-01       1.608236E+00       5.637777E-03      -1.386603E-02
   21.00     0.00      -6.193487E-01       1.580111E+00       7.388503E-03      -1.379399E-02
   22.00     0.00      -6.034823E-01       1.551891E+00       9.178705E-03      -1.314487E-02
   23.00     0.00      -5.859740E-01       1.523815E+00       1.096485E-02      -1.185956E-02
   24.00     0.00      -5.667686E-01       1.496123E+00       1.269612E-02      -9.884790E-03
   25.00     0.00      -5.458401E-01       1.469074E+00       1.431238E-02      -7.173040E-03
   26.00     0.00      -5.231909E-01       1.442949E+00       1.574270E-02      -3.684380E-03
   27.00     0.00      -4.988589E-01       1.418050E+00       1.690486E-02       6.111003E-04
   28.00     0.00      -4.729265E-01       1.394690E+00       1.770536E-02       5.730436E-03
   29.00     0.00      -4.455280E-01       1.373196E+00       1.803991E-02       1.167455E-02
   30.00     0.00      -4.168582E-01       1.353892E+00       1.779472E-02       1.842466E-02
   31.00     0.00      -3.871783E-01       1.337089E+00       1.684871E-02       2.593857E-02
